"Date (Fall and Summer) ","Flight Direction Nearest degree ","CalcSpeed (Mph) (not adjusted for wind)","Evening (e)/ Morning (m) or Detection# ","Filtered out New GE","Filtered out Siemens 2.3","Filtered out Siemens 3.0"
10/15/06,120,34.9,"E","Y","Y","Y"
10/15/06,288,34.9,"E","Y","Y","Y"
10/15/06,185,38.39,"E","Y","Y","Y"
10/15/06,185,38.39,"E","Y","Y","Y"
10/15/06,90,33.98,"E","N","N","N"
10/15/06,150,34.9,"E","Y","Y","Y"
10/15/06,150,34.9,"E","Y","Y","Y"
10/15/06,310,40.77,"E","N","N","N"
10/15/06,310,40.77,"E","N","N","N"
10/15/06,95,33.98,"E","N","N","N"
10/15/06,95,33.98,"E","N","N","N"
10/15/06,285,38.39,"E","N","N","N"
10/15/06,85,37.37,"E","N","N","N"
10/15/06,85,37.37,"E","N","N","N"
10/15/06,260,34.9,"E","Y","Y","Y"
10/15/06,260,34.9,"E","Y","Y","Y"
10/15/06,210,38.39,"E","Y","Y","Y"
10/16/06,80,33.98,"M","Y","Y","Y"
10/18/06,30,33.98,"M","N","N","N"
10/18/06,340,33.98,"M","N","N","N"
10/18/06,310,30.58,"M","N","N","N"
10/18/06,205,41.88,"M","Y","Y","Y"
10/18/06,300,34.9,"M","Y","Y","Y"
10/18/06,300,34.9,"M","Y","Y","Y"
10/18/06,300,34.9,"M","Y","Y","Y"
10/18/06,340,33.98,"M","N","N","Y"
10/18/06,350,33.98,"M","N","N","Y"
10/18/06,340,34.9,"M","Y","Y","Y"
10/18/06,130,37.37,"M","N","N","N"
10/18/06,130,37.37,"M","N","N","N"
10/18/06,130,37.37,"M","N","N","N"
10/18/06,80,33.98,"M","N","N","N"
10/18/06,130,34.9,"M","Y","Y","Y"
10/18/06,190,38.39,"M","Y","Y","Y"
10/18/06,190,38.39,"M","Y","Y","Y"
10/18/06,330,38.39,"M","Y","Y","Y"
10/18/06,110,33.98,"M","N","N","N"
10/18/06,145,40.77,"M","N","N","N"
10/18/06,90,37.37,"M","N","N","N"
10/18/06,90,37.37,"M","N","N","N"
10/18/06,90,37.37,"M","N","N","N"
10/18/06,110,38.39,"M","Y","Y","Y"
10/18/06,10,33.98,"M","N","N","N"
10/18/06,90,41.88,"M","Y","Y","Y"
10/18/06,150,40.77,"M","N","N","N"
10/18/06,60,34.9,"M","Y","Y","Y"
10/18/06,60,34.9,"M","Y","Y","Y"
10/18/06,115,38.39,"M","Y","Y","Y"
10/18/06,70,34.9,"M","Y","Y","Y"
10/18/06,125,33.98,"M","N","N","N"
10/18/06,125,33.98,"M","N","N","N"
10/18/06,95,38.39,"M","Y","Y","Y"
10/18/06,10,33.98,"M","N","N","N"
10/18/06,110,37.37,"M","N","N","N"
10/18/06,250,33.98,"M","N","N","N"
10/18/06,80,37.37,"M","N","N","N"
10/18/06,80,37.37,"M","N","N","N"
10/18/06,110,37.37,"M","N","N","N"
10/18/06,110,37.37,"M","N","N","N"
10/18/06,200,38.39,"M","Y","Y","Y"
10/18/06,100,38.39,"M","Y","Y","Y"
10/18/06,120,30.58,"M","N","N","N"
10/18/06,80,34.9,"M","Y","Y","Y"
10/18/06,345,33.98,"M","N","N","N"
10/18/06,210,38.39,"M","Y","Y","Y"
10/18/06,210,38.39,"M","Y","Y","Y"
10/18/06,210,38.39,"M","Y","Y","Y"
10/18/06,210,38.39,"M","Y","Y","Y"
5/26/2010,272,54.37,"E","N","N","N"
5/26/2010,320,40.77,"E","N","N","N"
5/28/2010,319,33.98,"E","N","N","N"
05/25/10,167,54.36,"E","N","N","N"
05/25/10,177,54.36,"E","N","N","N"
05/25/10,169,54.36,"E","N","N","N"
05/25/10,113,33.98,"E","N","N","N"
05/25/10,359,54.36,"E","Y","Y","Y"
05/25/10,133,47.57,"E","N","N","N"
05/25/10,133,47.57,"E","N","N","N"
05/25/10,133,47.57,"E","N","N","N"
05/25/10,241,47.57,"E","N","N","N"
05/25/10,95,54.36,"E","N","N","N"
05/25/10,114,67.95,"E","N","N","N"
05/25/10,83,54.36,"E","Y","Y","Y"
05/25/10,27,54.36,"E","Y","Y","Y"
05/25/10,87,61.16,"E","N","N","N"
05/25/10,188,67.95,"E","N","N","N"
05/25/10,247,67.95,"E","N","N","N"
05/26/10,91,74.75,"M","N","N","N"
05/26/10,97,54.36,"M","N","N","N"
05/26/10,83,67.95,"M","N","N","N"
05/26/10,132,67.95,"M","N","N","N"
05/26/10,13,67.95,"M","Y","Y","Y"
05/26/10,30,61.16,"E","Y","Y","Y"
05/26/10,117,54.36,"E","N","N","N"
05/26/10,61,61.16,"E","Y","Y","Y"
05/26/10,78,54.36,"E","Y","Y","Y"
05/26/10,108,54.36,"E","N","N","N"
05/26/10,59,54.36,"E","Y","Y","Y"
05/26/10,40,54.36,"E","Y","Y","Y"
05/26/10,60,54.36,"E","Y","Y","Y"
05/26/10,342,33.98,"E","Y","Y","Y"
05/26/10,101,47.57,"E","N","N","N"
05/26/10,140,40.77,"E","N","N","N"
05/26/10,80,54.36,"E","Y","Y","Y"
05/26/10,150,47.57,"E","N","N","N"
05/26/10,96,33.98,"E","N","N","N"
05/26/10,160,47.57,"E","N","N","N"
05/26/10,296,40.77,"E","Y","Y","Y"
05/26/10,145,47.57,"E","N","N","N"
05/26/10,168,54.36,"E","N","N","N"
05/26/10,19,47.57,"E","Y","Y","Y"
05/26/10,19,47.57,"E","Y","Y","Y"
05/26/10,32,54.36,"E","Y","Y","Y"
05/27/10,118,54.36,"M","N","N","N"
05/27/10,341,61.16,"E","Y","Y","Y"
05/27/10,26,54.36,"E","Y","Y","Y"
05/27/10,37,47.57,"E","Y","Y","Y"
05/27/10,109,40.77,"E","Y","Y","Y"
05/27/10,192,67.95,"E","N","N","N"
05/27/10,182,54.36,"E","N","N","N"
05/27/10,153,54.36,"E","N","N","N"
05/27/10,217,40.77,"E","N","N","Y"
05/27/10,347,54.36,"E","Y","Y","Y"
05/27/10,27,47.57,"E","Y","Y","Y"
05/27/10,175,54.36,"E","N","N","N"
05/27/10,329,40.77,"E","Y","Y","Y"
05/27/10,73,47.57,"E","Y","Y","Y"
05/27/10,4,54.36,"E","Y","Y","Y"
05/27/10,47,47.57,"E","Y","Y","Y"
05/27/10,66,47.57,"E","Y","Y","Y"
05/27/10,339,40.77,"E","Y","Y","Y"
05/27/10,200,67.95,"E","N","N","N"
05/28/10,309,61.16,"M","Y","Y","Y"
05/28/10,103,54.36,"M","N","N","N"
05/28/10,354,47.57,"M","Y","Y","Y"
05/28/10,23,54.36,"M","Y","Y","Y"
05/28/10,131,47.57,"M","N","N","Y"
05/28/10,38,47.57,"E","Y","Y","Y"
05/28/10,217,47.57,"E","N","N","Y"
05/28/10,300,27.18,"E","Y","Y","Y"
05/28/10,62,40.77,"E","Y","Y","Y"
05/28/10,325,40.77,"E","N","N","Y"
05/28/10,125,47.57,"E","N","N","N"
05/28/10,144,47.57,"E","N","N","Y"
05/28/10,144,47.57,"E","N","N","Y"
05/28/10,77,54.36,"E","Y","Y","Y"
05/28/10,263,47.57,"E","N","N","N"
05/28/10,103,33.98,"E","Y","Y","Y"
05/28/10,80,33.98,"E","N","Y","Y"
05/28/10,91,40.77,"E","Y","Y","Y"
05/28/10,358,61.16,"E","Y","Y","Y"
05/28/10,134,47.57,"E","N","N","N"
05/28/10,22,54.36,"E","Y","Y","Y"
05/28/10,90,33.98,"E","N","N","N"
05/28/10,80,47.57,"E","N","N","N"
05/28/10,197,47.57,"E","N","N","N"
05/28/10,94,40.77,"E","N","N","N"
05/28/10,84,40.77,"E","N","N","N"
05/28/10,238,54.36,"E","N","N","N"
05/28/10,277,54.36,"E","N","N","N"
05/28/10,156,61.16,"E","N","N","N"
05/28/10,205,47.57,"E","N","N","N"
05/28/10,156,54.36,"E","N","N","N"
05/28/10,53,54.36,"E","Y","Y","Y"
05/29/10,45,47.57,"M","Y","Y","Y"
05/29/10,124,54.36,"M","N","N","N"
05/29/10,246,54.36,"M","N","Y","Y"
05/29/10,82,54.36,"M","N","N","N"
05/29/10,109,54.36,"M","N","N","N"
05/29/10,225,54.36,"M","N","N","N"
05/29/10,108,54.36,"M","N","N","N"
05/29/10,186,54.36,"M","N","Y","Y"
05/29/10,155,33.98,"M","N","N","Y"
05/29/10,105,54.36,"M","N","N","N"
05/29/10,232,33.98,"E","N","N","N"
05/29/10,101,54.36,"E","N","N","N"
05/29/10,120,54.36,"E","N","N","N"
05/29/10,290,40.77,"E","N","N","N"
05/29/10,359,27.18,"E","Y","Y","Y"
05/29/10,86,54.36,"E","Y","Y","Y"
05/29/10,162,54.36,"E","N","N","N"
05/29/10,170,40.77,"E","N","N","N"
05/29/10,271,54.36,"E","N","N","N"
05/29/10,87,33.98,"E","Y","Y","Y"
05/29/10,185,47.57,"E","N","N","Y"
05/29/10,206,33.98,"E","N","N","Y"
05/29/10,175,33.98,"E","N","N","Y"
05/29/10,200,54.36,"E","N","N","N"
05/29/10,37,54.36,"E","Y","Y","Y"
05/29/10,42,54.36,"E","Y","Y","Y"
05/29/10,84,54.36,"E","Y","Y","Y"
05/29/10,271,54.36,"E","N","N","N"
05/29/10,136,33.98,"E","N","N","Y"
05/29/10,77,40.77,"E","Y","Y","Y"
05/29/10,94,40.77,"E","Y","Y","Y"
05/29/10,94,40.77,"E","Y","Y","Y"
05/29/10,85,40.77,"E","Y","Y","Y"
05/29/10,82,40.77,"E","Y","Y","Y"
05/29/10,61,40.77,"E","Y","Y","Y"
05/29/10,38,40.77,"E","Y","Y","Y"
05/29/10,78,40.77,"E","Y","Y","Y"
05/29/10,73,40.77,"E","Y","Y","Y"
05/29/10,113,40.77,"E","N","N","N"
05/29/10,86,40.77,"E","Y","Y","Y"
05/29/10,1387,40.77,"E","N","N","N"
05/29/10,225,40.77,"E","N","N","N"
05/29/10,70,40.77,"E","Y","Y","Y"
05/29/10,68,40.77,"E","Y","Y","Y"
05/29/10,57,40.77,"E","Y","Y","Y"
05/29/10,105,40.77,"E","N","N","Y"
05/29/10,105,40.77,"E","N","N","Y"
05/29/10,80,40.77,"E","Y","Y","Y"
05/29/10,289,40.77,"E","Y","Y","Y"
05/29/10,75,54.36,"E","Y","Y","Y"
05/29/10,339,33.98,"E","N","N","N"
05/29/10,14,54.36,"E","Y","Y","Y"
05/29/10,7,33.98,"E","N","N","Y"
05/29/10,38,40.77,"E","Y","Y","Y"
05/29/10,358,33.98,"E","N","Y","Y"
05/29/10,99,40.77,"E","N","N","N"
05/29/10,41,40.77,"E","Y","Y","Y"
05/29/10,215,54.36,"E","N","N","N"
05/29/10,359,54.36,"E","Y","Y","Y"
05/29/10,177,61.16,"E","N","N","Y"
05/29/10,82,47.57,"E","Y","Y","Y"
05/29/10,118,47.57,"E","N","N","N"
05/29/10,138,40.77,"E","N","N","N"
05/29/10,184,54.36,"E","N","N","N"
05/30/10,180,54.36,"M","N","N","Y"
05/30/10,45,33.98,"M","N","N","Y"
05/30/10,47,33.98,"M","N","N","N"
05/30/10,177,54.36,"M","N","N","N"
05/30/10,142,47.57,"M","N","N","N"
05/30/10,218,47.57,"M","N","N","Y"
05/30/10,87,61.16,"M","N","N","N"
